epoch,lr-Adam,step,train/mse,val/mse
,0.0005,49,,
0,,49,0.0579439140856266,
,0.0005,99,,
0,,99,0.06784312427043915,
,0.0005,149,,
0,,149,0.07621490955352783,
,0.0005,199,,
0,,199,0.07617750763893127,
,0.0005,249,,
0,,249,0.04098597168922424,
,0.0005,299,,
0,,299,0.050954513251781464,
,0.0005,349,,
0,,349,0.0330401286482811,
,0.0005,399,,
0,,399,0.03154894337058067,
,0.0005,449,,
0,,449,0.025089535862207413,
,0.0005,499,,
0,,499,0.014699162915349007,
,0.0005,549,,
0,,549,0.017652727663517,
,0.0005,599,,
0,,599,0.007918763905763626,
,0.0005,649,,
0,,649,0.016476739197969437,
,0.0005,699,,
0,,699,0.013124726712703705,
,0.0005,749,,
0,,749,0.007208650931715965,
,0.0005,799,,
0,,799,0.008377894759178162,
,0.0005,849,,
0,,849,0.009450700134038925,
,0.0005,899,,
0,,899,0.005308871157467365,
,0.0005,949,,
0,,949,0.0047783879563212395,
,0.0005,999,,
0,,999,0.004801583010703325,
,0.0005,1049,,
0,,1049,0.0021364670246839523,
,0.0005,1099,,
0,,1099,0.0037291906774044037,
,0.0005,1149,,
0,,1149,0.003188378643244505,
,0.0005,1199,,
0,,1199,0.0024642529897391796,
,0.0005,1249,,
0,,1249,0.0024823446292430162,
,0.0005,1299,,
0,,1299,0.002935085678473115,
,0.0005,1349,,
0,,1349,0.0033538686111569405,
,0.0005,1399,,
0,,1399,0.0014926402363926172,
,0.0005,1449,,
0,,1449,0.0024311551824212074,
,0.0005,1499,,
0,,1499,0.002707134000957012,
,0.0005,1549,,
0,,1549,0.0019004691857844591,
,0.0005,1599,,
0,,1599,0.0023825864773243666,
,0.0005,1649,,
0,,1649,0.0034603788517415524,
,0.0005,1699,,
0,,1699,0.0022392712999135256,
,0.0005,1749,,
0,,1749,0.0019416427239775658,
,0.0005,1799,,
0,,1799,0.0018267208943143487,
,0.0005,1849,,
0,,1849,0.0017142310971394181,
,0.0005,1899,,
0,,1899,0.0019351969240233302,
,0.0005,1949,,
0,,1949,0.002911485033109784,
,0.0005,1999,,
0,,1999,0.0019877878949046135,
,0.0005,2049,,
0,,2049,0.002464946359395981,
,0.0005,2099,,
0,,2099,0.0006724103586748242,
,0.0005,2149,,
0,,2149,0.000887571950443089,
,0.0005,2199,,
0,,2199,0.000913483090698719,
,0.0005,2249,,
0,,2249,0.0017823446542024612,
,0.0005,2299,,
0,,2299,0.000829824130050838,
,0.0005,2349,,
0,,2349,0.0017423098906874657,
,0.0005,2399,,
0,,2399,0.0012576094595715404,
,0.0005,2449,,
0,,2449,0.0015898309648036957,
,0.0005,2499,,
0,,2499,0.0021326462738215923,
,0.0005,2549,,
0,,2549,0.0006708265864290297,
,0.0005,2599,,
0,,2599,0.0011276114964857697,
,0.0005,2649,,
0,,2649,0.0007393473060801625,
,0.0005,2699,,
0,,2699,0.0006584880175068974,
,0.0005,2749,,
0,,2749,0.0005413319449871778,
,0.0005,2799,,
0,,2799,0.0007162863621488214,
,0.0005,2849,,
0,,2849,0.0013647403102368116,
,0.0005,2899,,
0,,2899,0.0008987111505120993,
,0.0005,2949,,
0,,2949,0.0006604478694498539,
,0.0005,2999,,
0,,2999,0.0008734475704841316,
,0.0005,3049,,
0,,3049,0.0007540264632552862,
,0.0005,3099,,
0,,3099,0.0012045439798384905,
,0.0005,3149,,
0,,3149,0.0013759918510913849,
,0.0005,3199,,
0,,3199,0.001013388391584158,
,0.0005,3249,,
0,,3249,0.0007791635580360889,
,0.0005,3299,,
0,,3299,0.000618653604760766,
,0.0005,3349,,
0,,3349,0.0006031012162566185,
,0.0005,3399,,
0,,3399,0.00067132618278265,
,0.0005,3449,,
0,,3449,0.00032821224885992706,
,0.0005,3499,,
0,,3499,0.001160338637419045,
,0.0005,3549,,
0,,3549,0.0004416473093442619,
,0.0005,3599,,
0,,3599,0.0009278447832912207,
,0.0005,3649,,
0,,3649,0.0009562053019180894,
,0.0005,3699,,
0,,3699,0.0006057075806893408,
,0.0005,3749,,
0,,3749,0.0006669554859399796,
,0.0005,3799,,
0,,3799,0.0002770327846519649,
,0.0005,3849,,
0,,3849,0.0007071475847624242,
,0.0005,3899,,
0,,3899,0.0012325651478022337,
,0.0005,3949,,
0,,3949,0.0004004879738204181,
,0.0005,3999,,
0,,3999,0.00024103504256345332,
,0.0005,4049,,
0,,4049,0.00036601361352950335,
,0.0005,4099,,
0,,4099,0.0007894797017797828,
,0.0005,4149,,
0,,4149,0.0015174802392721176,
,0.0005,4199,,
0,,4199,0.0001999667874770239,
,0.0005,4249,,
0,,4249,0.00040428104694001377,
,0.0005,4299,,
0,,4299,0.0003051813109777868,
,0.0005,4349,,
0,,4349,0.0009642811492085457,
,0.0005,4399,,
0,,4399,0.000425046804593876,
,0.0005,4449,,
0,,4449,0.0003748502931557596,
,0.0005,4499,,
0,,4499,0.0008938288083299994,
,0.0005,4549,,
0,,4549,0.0006845438620075583,
,0.0005,4599,,
0,,4599,0.0003575554583221674,
,0.0005,4649,,
0,,4649,0.00027651971322484314,
,0.0005,4699,,
0,,4699,0.000623195490334183,
,0.0005,4749,,
0,,4749,0.0006143507780507207,
,0.0005,4799,,
0,,4799,0.0005285401130095124,
,0.0005,4849,,
0,,4849,0.0002449803287163377,
,0.0005,4899,,
0,,4899,0.000404820719268173,
,0.0005,4949,,
0,,4949,0.0003613532753661275,
,0.0005,4999,,
0,,4999,0.00048050563782453537,
,0.0005,5049,,
0,,5049,0.0003123863716609776,
,0.0005,5099,,
0,,5099,0.00013007679081056267,
,0.0005,5149,,
0,,5149,0.00013944684178568423,
,0.0005,5199,,
0,,5199,0.000658201752230525,
,0.0005,5249,,
0,,5249,0.0011772869620472193,
,0.0005,5299,,
0,,5299,0.0007466973038390279,
,0.0005,5349,,
0,,5349,0.00041060743387788534,
,0.0005,5399,,
0,,5399,0.0009995251893997192,
,0.0005,5449,,
0,,5449,0.0005381694645620883,
,0.0005,5499,,
0,,5499,0.0005068312748335302,
,0.0005,5549,,
0,,5549,0.00025777285918593407,
,0.0005,5599,,
0,,5599,0.0007177719380706549,
,0.0005,5649,,
0,,5649,0.0006251671002246439,
,0.0005,5699,,
0,,5699,0.00035571257467381656,
,0.0005,5749,,
0,,5749,0.0006970246904529631,
,0.0005,5799,,
0,,5799,0.0004903700901195407,
,0.0005,5849,,
0,,5849,0.00034877072903327644,
,0.0005,5899,,
0,,5899,0.0002612548996694386,
,0.0005,5949,,
0,,5949,0.00038971955655142665,
,0.0005,5999,,
0,,5999,0.00027627949020825326,
,0.0005,6049,,
0,,6049,0.0004229084588587284,
,0.0005,6099,,
0,,6099,0.00015845154121052474,
,0.0005,6149,,
0,,6149,0.0003769758332055062,
,0.0005,6199,,
0,,6199,0.00025302739231847227,
,0.0005,6249,,
0,,6249,0.0005514345830306411,
,0.0005,6299,,
0,,6299,0.00010529802966630086,
,0.0005,6349,,
0,,6349,0.0005493600619956851,
,0.0005,6399,,
0,,6399,0.0009990219259634614,
,0.0005,6449,,
0,,6449,0.0002359580248594284,
,0.0005,6499,,
0,,6499,0.0002378546487307176,
,0.0005,6549,,
0,,6549,0.00023187637270893902,
,0.0005,6599,,
0,,6599,0.0003762953565455973,
,0.0005,6649,,
0,,6649,0.00022282113786786795,
,0.0005,6699,,
0,,6699,0.0007122747483663261,
,0.0005,6749,,
0,,6749,0.00037414999678730965,
,0.0005,6799,,
0,,6799,0.0004886853275820613,
,0.0005,6849,,
